f1 f2 x y z length
1 15 3768.79512 2614.589238 -1500 1325.767702
1 20 -366.5178492 2205.582782 -1500 543.9086181
1 52 -2885.446674 35.33958603 -1500 840.4081904
1 -5 5000 0 -1500 10000
1 -4 0 5000 -1500 10000
1 -2 0 5000 -1500 10000
1 -3 -5000 0 -1500 10000
1 -6 0 -5000 -1500 10000
2 11 2465.028232 2634.649089 1500 353.7707152
2 42 -3004.016891 2839.167328 1500 262.5722641
2 -5 5000 0 1500 10000
2 -4 0 5000 1500 10000
2 -1 0 5000 1500 10000
2 -3 -5000 0 1500 10000
2 -6 0 -5000 1500 10000
8 -5 5000 1019.075021 1253.135936 188.1422647
10 -3 -5000 -3659.611994 -811.2647515 197.2741563
11 -1 2465.028232 2634.649089 1500 353.7707152
15 -2 3768.79512 2614.589238 -1500 1325.767702
20 -2 -366.5178492 2205.582782 -1500 543.9086181
33 40 -62.34842941 -2882.261202 -498.1153025 62.2338783
42 -1 -3004.016891 2839.167328 1500 262.5722641
45 -5 5000 2292.127355 -222.8846714 808.4124508
48 -4 44.86138637 5000 340.6940118 419.3594259
52 -2 -2885.446674 35.33958603 -1500 840.4081904
