nPolygons: 52
4 {5000, 5000, -1500} {-5000, 5000, -1500} {-5000, -5000, -1500} {5000, -5000, -1500} 
4 {5000, 5000, 1500} {-5000, 5000, 1500} {-5000, -5000, 1500} {5000, -5000, 1500} 
8 {4143.69128011, -308.097613555, -1169.91233143} {4141.7186795, -381.341633969, -1214.5063384} {4123.2631036, -402.530944542, -1295.54712289} {4099.13557871, -359.253120596, -1365.56208456} {4083.46967726, -276.859727019, -1383.5374265} {4085.44227946, -203.615702305, -1338.94341133} {4103.89785366, -182.426405157, -1257.90264008} {4128.02537615, -225.704213552, -1187.88767972} 
8 {-2651.15224619, -943.94356511, -648.13961301} {-2653.33933023, -794.570191592, -583.9356336} {-2731.86841179, -656.177095087, -617.400182074} {-2840.73820437, -609.833086853, -728.930166384} {-2916.17427847, -682.685861448, -853.19285814} {-2913.98717458, -832.059251279, -917.396820743} {-2835.45811255, -970.452313582, -883.932280684} {-2726.58833852, -1016.79631849, -772.402317415} 
8 {2171.86441454, -454.532370442, -571.29543073} {2261.81898336, -356.431883208, -365.509542318} {2485.38490794, -294.839130294, -286.212768034} {2711.60027054, -305.834316684, -379.856086935} {2807.95121595, -382.976615959, -591.584534655} {2717.9966017, -481.077109284, -797.370423944} {2494.43073227, -542.669844137, -876.667171863} {2268.21540546, -531.674665579, -783.023882227} 
8 {1536.93132578, 2817.31027912, -359.784791987} {1535.44597808, 2881.71855869, -413.733237842} {1500.29037137, 2958.03983392, -414.196436434} {1452.05818689, 3001.56612679, -360.903050268} {1419.00317586, 2986.80033437, -285.071614467} {1420.48853061, 2922.39204014, -231.123169072} {1455.64413035, 2846.07078715, -230.659976855} {1503.87630541, 2802.54449559, -283.953346263} 
8 {-1234.16912069, -4748.95904975, -670.993419063} {-1171.56049137, -4683.57411838, -603.41853661} {-1180.64334376, -4578.38169623, -563.250739594} {-1256.09705508, -4495.00209224, -574.019778249} {-1353.72188382, -4482.27793994, -629.417304463} {-1416.33050568, -4547.66289259, -696.992191527} {-1407.24765274, -4652.85528597, -737.159975669} {-1331.7939605, -4736.23487737, -726.390943441} 
7 {4977.67004, 1117.3032013, 1413.22167558} {4990.24616906, 1022.33129437, 1399.61891198} {5000, 975.811897592, 1336.66844452} {5000, 1062.33814522, 1169.60342655} {4988.15995799, 1151.75129377, 1182.41002471} {4976.19486798, 1208.81694726, 1259.63179321} {4971.84980029, 1194.54809937, 1355.23709403} 
8 {2296.65082341, -4748.86474715, -122.381580225} {2283.12335215, -4760.74885349, -208.310829465} {2272.67733441, -4830.62253895, -260.431937893} {2271.4319073, -4917.55473905, -248.213058198} {2280.11662449, -4970.62176524, -178.811845071} {2293.64409755, -4958.73764547, -92.8825870693} {2304.09011185, -4888.86397441, -40.7614979016} {2305.33554021, -4801.93178941, -52.9803658432} 
6 {-5000, -3758.10139911, -816.660139459} {-5000, -3561.12258835, -805.869363576} {-4977.49305439, -3556.43778602, -789.627266299} {-4923.06880502, -3602.80319312, -753.512649267} {-4910.14848555, -3681.70511894, -748.658408589} {-4946.30063366, -3746.92390737, -777.908086542} 
6 {2583.76814607, 2711.45958289, 1311.27270071} {2513.30723642, 2812.01091718, 1390.64275636} {2438.02201009, 2809.46068377, 1500} {2492.03445299, 2459.83749386, 1500} {2553.76530558, 2461.92858259, 1410.33146584} {2600.52641514, 2566.45070553, 1319.42805428} 
8 {389.2468827, 811.484218717, 175.498187869} {443.512599758, 878.20391487, 82.1751736484} {479.36889151, 999.03843564, 67.3826918555} {475.811621804, 1103.20454358, 139.785985813} {434.924593263, 1129.68316676, 256.972195311} {380.658870698, 1062.96345452, 350.295213317} {344.802591061, 942.128957379, 365.087679606} {348.359852855, 837.962855099, 292.68440865} 
